nurse_id,date,ward,shift,duration_hours,week,start_time,end_time
N008,2025-06-01,A,Night,8,22,0 days 00:00:00,0 days 08:00:00
N030,2025-06-01,A,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N004,2025-06-01,A,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N008,2025-06-01,A,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N003,2025-06-01,A,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N029,2025-06-01,B,Night,8,22,0 days 00:00:00,0 days 08:00:00
N007,2025-06-01,B,Night,8,22,0 days 00:00:00,0 days 08:00:00
N018,2025-06-01,B,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N009,2025-06-01,B,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N009,2025-06-01,B,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N017,2025-06-01,B,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N011,2025-06-01,B,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N015,2025-06-01,B,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N014,2025-06-01,B,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N017,2025-06-01,B,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N027,2025-06-01,C,Night,8,22,0 days 00:00:00,0 days 08:00:00
N018,2025-06-01,C,Night,8,22,0 days 00:00:00,0 days 08:00:00
N010,2025-06-01,C,Night,8,22,0 days 00:00:00,0 days 08:00:00
N004,2025-06-01,C,Night,8,22,0 days 00:00:00,0 days 08:00:00
N004,2025-06-01,C,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N008,2025-06-01,C,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N014,2025-06-01,C,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N001,2025-06-01,C,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N024,2025-06-01,C,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N001,2025-06-01,C,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N007,2025-06-01,C,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N006,2025-06-01,C,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N027,2025-06-01,C,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N002,2025-06-01,C,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N022,2025-06-01,C,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N010,2025-06-01,C,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N016,2025-06-01,C,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N027,2025-06-01,C,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N022,2025-06-01,C,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N003,2025-06-01,C,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N009,2025-06-01,ICU,Night,8,22,0 days 00:00:00,0 days 08:00:00
N021,2025-06-01,ICU,Flex1,4,22,0 days 08:00:00,0 days 12:00:00
N018,2025-06-01,ICU,Flex2,4,22,0 days 12:00:00,0 days 16:00:00
N007,2025-06-01,ICU,Flex3,4,22,0 days 16:00:00,0 days 20:00:00
N029,2025-06-01,ICU,Flex4,4,22,0 days 20:00:00,1 days 00:00:00
N029,2025-06-02,A,Night,8,23,0 days 00:00:00,0 days 08:00:00
N028,2025-06-02,A,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N020,2025-06-02,A,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N005,2025-06-02,A,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N016,2025-06-02,A,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N027,2025-06-02,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N009,2025-06-02,B,Night,8,23,0 days 00:00:00,0 days 08:00:00
N025,2025-06-02,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N021,2025-06-02,B,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N021,2025-06-02,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N005,2025-06-02,B,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N003,2025-06-02,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N028,2025-06-02,B,Flex3,4,23,0 days 16:00:00,0 days 20:00:00
N019,2025-06-02,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N012,2025-06-02,B,Flex4,4,23,0 days 20:00:00,1 days 00:00:00
N021,2025-06-02,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N008,2025-06-02,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N002,2025-06-02,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N014,2025-06-02,C,Night,8,23,0 days 00:00:00,0 days 08:00:00
N014,2025-06-02,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N003,2025-06-02,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N001,2025-06-02,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N023,2025-06-02,C,Flex1,4,23,0 days 08:00:00,0 days 12:00:00
N007,2025-06-02,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N018,2025-06-02,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N019,2025-06-02,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
N028,2025-06-02,C,Flex2,4,23,0 days 12:00:00,0 days 16:00:00
