nurse_id,date,ward,shift,duration_hours,week,start_time,end_time,label,hours_last_2wks,days_since_last_shift,consecutive_work_days,day_of_week,shift_Flex1,shift_Flex2,shift_Flex3,shift_Flex4,shift_Night,ward_A,ward_B,ward_C,ward_ICU,preferred_shift,preference_match
N008,2025-06-01,A,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,True,False,False,False,,0
N030,2025-06-01,A,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,True,False,False,False,,0
N004,2025-06-01,A,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,True,False,False,False,,0
N008,2025-06-01,A,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,True,False,False,False,,0
N003,2025-06-01,A,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,True,False,False,False,,0
N029,2025-06-01,B,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,True,False,False,,0
N007,2025-06-01,B,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,True,False,False,,0
N018,2025-06-01,B,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,True,False,False,,0
N009,2025-06-01,B,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,True,False,False,,0
N009,2025-06-01,B,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,True,False,False,,0
N017,2025-06-01,B,Flex2,4,22.0,0 days 12:00:00,0 days 16:00:00,1,0,,0,6,False,True,False,False,False,False,True,False,False,,0
N011,2025-06-01,B,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,True,False,False,,0
N015,2025-06-01,B,Flex3,4,22.0,0 days 16:00:00,0 days 20:00:00,1,0,,0,6,False,False,True,False,False,False,True,False,False,,0
N014,2025-06-01,B,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,True,False,False,,0
N017,2025-06-01,B,Flex4,4,22.0,0 days 20:00:00,1 days 00:00:00,1,0,,0,6,False,False,False,True,False,False,True,False,False,,0
N027,2025-06-01,C,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,False,True,False,,0
N018,2025-06-01,C,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,False,True,False,,0
N010,2025-06-01,C,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,False,True,False,,0
N004,2025-06-01,C,Night,8,22.0,0 days 00:00:00,0 days 08:00:00,1,0,,0,6,False,False,False,False,True,False,False,True,False,,0
N004,2025-06-01,C,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,False,True,False,,0
N008,2025-06-01,C,Flex1,4,22.0,0 days 08:00:00,0 days 12:00:00,1,0,,0,6,True,False,False,False,False,False,False,True,False,,0
