nurse_node,nurse_id,shift_node,date,shift,ward,start_time,end_time,duration_hours,gat_score
0,N018,40,2025-09-08,Flex1,A,07:00,11:00,4,0.9974482
0,N018,41,2025-09-09,Flex3,C,09:00,15:00,6,0.9974482
0,N018,42,2025-09-10,Flex2,C,10:00,15:00,5,0.9974482
0,N018,43,2025-09-11,PM,ICU,15:00,23:00,8,0.9974482
0,N018,44,2025-09-12,Flex4,A,12:00,19:00,7,0.9974482
0,N018,45,2025-09-13,Flex6,C,07:00,19:00,12,0.9974482
0,N018,46,2025-09-14,Flex3,C,09:00,15:00,6,0.9974482
0,N018,47,2025-09-15,Flex4,A,12:00,19:00,7,0.9974482
0,N018,48,2025-09-16,Night,C,20:00,08:00,12,0.9974482
0,N018,49,2025-09-17,Flex3,A,09:00,15:00,6,0.9974482
0,N018,50,2025-09-18,Flex4,A,12:00,19:00,7,0.9974482
0,N018,51,2025-09-19,Flex1,ICU,07:00,11:00,4,0.9974482
0,N018,52,2025-09-20,AM,B,07:00,15:00,8,0.9974482
0,N018,53,2025-09-21,AM,ICU,07:00,15:00,8,0.9974482
0,N018,54,2025-09-22,Night,ICU,20:00,08:00,12,0.9974482
0,N018,55,2025-09-23,PM,ICU,15:00,23:00,8,0.9974482
0,N018,56,2025-09-24,Flex1,ICU,07:00,11:00,4,0.9974482
0,N018,57,2025-09-25,PM,A,15:00,23:00,8,0.9974482
0,N018,58,2025-09-26,Flex1,ICU,07:00,11:00,4,0.9974482
0,N018,59,2025-09-27,PM,ICU,15:00,23:00,8,0.9974482
0,N018,60,2025-09-28,Flex2,C,10:00,15:00,5,0.9974482
0,N018,61,2025-09-29,Flex3,B,09:00,15:00,6,0.9974482
0,N018,62,2025-09-30,PM,ICU,15:00,23:00,8,0.9974482
0,N018,63,2025-10-01,Flex3,ICU,09:00,15:00,6,0.9974482
0,N018,64,2025-10-02,Flex2,B,10:00,15:00,5,0.9974482
0,N018,65,2025-10-03,AM,B,07:00,15:00,8,0.9974482
0,N018,66,2025-10-04,Flex6,C,07:00,19:00,12,0.9974482
0,N018,67,2025-10-05,Flex4,C,12:00,19:00,7,0.9974482
0,N018,68,2025-09-08,Flex4,C,12:00,19:00,7,0.9974482
0,N018,69,2025-09-09,Flex1,ICU,07:00,11:00,4,0.9974482
0,N018,70,2025-09-10,PM,A,15:00,23:00,8,0.9974482
0,N018,71,2025-09-11,Flex3,A,09:00,15:00,6,0.9974482
0,N018,72,2025-09-12,Night,B,20:00,08:00,12,0.9974482
0,N018,73,2025-09-13,Flex4,ICU,12:00,19:00,7,0.9974482
0,N018,74,2025-09-14,Flex2,ICU,10:00,15:00,5,0.9974482
0,N018,75,2025-09-15,Flex3,A,09:00,15:00,6,0.9974482
0,N018,76,2025-09-16,Flex4,C,12:00,19:00,7,0.9974482
0,N018,77,2025-09-17,Flex4,ICU,12:00,19:00,7,0.9974482
0,N018,78,2025-09-18,Night,A,20:00,08:00,12,0.9974482
0,N018,79,2025-09-19,Flex2,A,10:00,15:00,5,0.9974482
0,N018,80,2025-09-20,Flex5,B,07:00,15:00,8,0.9974482
0,N018,81,2025-09-21,Flex5,ICU,07:00,15:00,8,0.9974482
0,N018,82,2025-09-22,Flex5,A,07:00,15:00,8,0.9974482
0,N018,83,2025-09-23,Flex5,C,07:00,15:00,8,0.9974482
0,N018,84,2025-09-24,AM,B,07:00,15:00,8,0.9974482
0,N018,85,2025-09-25,Night,B,20:00,08:00,12,0.9974482
0,N018,86,2025-09-26,PM,A,15:00,23:00,8,0.9974482
0,N018,87,2025-09-27,PM,B,15:00,23:00,8,0.9974482
0,N018,88,2025-09-28,Flex5,C,07:00,15:00,8,0.9974482
0,N018,89,2025-09-29,Flex5,ICU,07:00,15:00,8,0.9974482
0,N018,90,2025-09-30,PM,A,15:00,23:00,8,0.9974482
0,N018,91,2025-10-01,Flex2,C,10:00,15:00,5,0.9974482
0,N018,92,2025-10-02,Flex3,C,09:00,15:00,6,0.9974482
0,N018,93,2025-10-03,Night,B,20:00,08:00,12,0.9974482
0,N018,94,2025-10-04,PM,A,15:00,23:00,8,0.9974482
0,N018,95,2025-10-05,Flex1,A,07:00,11:00,4,0.9974482
0,N018,96,2025-09-08,Flex3,B,09:00,15:00,6,0.9974482
0,N018,97,2025-09-09,Flex1,A,07:00,11:00,4,0.9974482
0,N018,98,2025-09-10,AM,C,07:00,15:00,8,0.9974482
0,N018,99,2025-09-11,Flex2,C,10:00,15:00,5,0.9974482
0,N018,100,2025-09-12,Flex4,C,12:00,19:00,7,0.9974482
0,N018,101,2025-09-13,Flex2,C,10:00,15:00,5,0.9974482
0,N018,102,2025-09-14,PM,C,15:00,23:00,8,0.9974482
0,N018,103,2025-09-15,Flex6,A,07:00,19:00,12,0.9974482
0,N018,104,2025-09-16,AM,ICU,07:00,15:00,8,0.9974482
0,N018,105,2025-09-17,Night,A,20:00,08:00,12,0.9974482
0,N018,106,2025-09-18,Flex1,A,07:00,11:00,4,0.9974482
0,N018,107,2025-09-19,Night,B,20:00,08:00,12,0.9974482
0,N018,108,2025-09-20,Flex5,C,07:00,15:00,8,0.9974482
0,N018,109,2025-09-21,Flex6,B,07:00,19:00,12,0.9974482
0,N018,110,2025-09-23,Flex2,ICU,10:00,15:00,5,0.9974482
0,N018,111,2025-09-24,Night,C,20:00,08:00,12,0.9974482
0,N018,112,2025-09-25,Flex3,B,09:00,15:00,6,0.9974482
0,N018,113,2025-09-26,PM,C,15:00,23:00,8,0.9974482
0,N018,114,2025-09-27,Flex6,B,07:00,19:00,12,0.9974482
0,N018,115,2025-09-29,AM,B,07:00,15:00,8,0.9974482
0,N018,116,2025-09-30,PM,C,15:00,23:00,8,0.9974482
0,N018,117,2025-10-01,Flex1,B,07:00,11:00,4,0.9974482
0,N018,118,2025-10-02,PM,A,15:00,23:00,8,0.9974482
0,N018,119,2025-10-03,Flex1,ICU,07:00,11:00,4,0.9974482
0,N018,120,2025-10-04,Flex5,B,07:00,15:00,8,0.9974482
0,N018,121,2025-10-05,Flex1,C,07:00,11:00,4,0.9974482
0,N018,122,2025-09-08,Flex2,B,10:00,15:00,5,0.9974482
0,N018,123,2025-09-09,PM,ICU,15:00,23:00,8,0.9974482
0,N018,124,2025-09-11,Flex4,A,12:00,19:00,7,0.9974482
0,N018,125,2025-09-12,Flex6,ICU,07:00,19:00,12,0.9974482
0,N018,126,2025-09-14,AM,C,07:00,15:00,8,0.9974482
0,N018,127,2025-09-15,Flex5,B,07:00,15:00,8,0.9974482
0,N018,128,2025-09-16,Flex3,A,09:00,15:00,6,0.9974482
0,N018,129,2025-09-17,Flex1,B,07:00,11:00,4,0.9974482
0,N018,130,2025-09-18,Flex2,ICU,10:00,15:00,5,0.9974482
0,N018,131,2025-09-19,Flex5,B,07:00,15:00,8,0.9974482
0,N018,132,2025-09-20,Flex5,ICU,07:00,15:00,8,0.9974482
0,N018,133,2025-09-21,Night,ICU,20:00,08:00,12,0.9974482
0,N018,134,2025-09-22,Flex3,A,09:00,15:00,6,0.9974482
0,N018,135,2025-09-23,Flex5,A,07:00,15:00,8,0.9974482
0,N018,136,2025-09-24,Flex4,C,12:00,19:00,7,0.9974482
0,N018,137,2025-09-25,Flex4,B,12:00,19:00,7,0.9974482
0,N018,138,2025-09-27,Flex1,A,07:00,11:00,4,0.9974482
0,N018,139,2025-09-28,Flex2,A,10:00,15:00,5,0.9974482
0,N018,140,2025-09-29,Flex5,A,07:00,15:00,8,0.9974482
0,N018,141,2025-09-30,Flex6,B,07:00,19:00,12,0.9974482
0,N018,142,2025-10-01,Flex2,ICU,10:00,15:00,5,0.9974482
0,N018,143,2025-10-02,Flex1,B,07:00,11:00,4,0.9974482
0,N018,144,2025-10-03,AM,ICU,07:00,15:00,8,0.9974482
0,N018,145,2025-10-05,Flex1,B,07:00,11:00,4,0.9974482
0,N018,146,2025-09-08,Flex1,B,07:00,11:00,4,0.9974482
0,N018,147,2025-09-09,AM,B,07:00,15:00,8,0.9974482
0,N018,148,2025-09-10,Night,ICU,20:00,08:00,12,0.9974482
0,N018,149,2025-09-11,PM,A,15:00,23:00,8,0.9974482
0,N018,150,2025-09-12,Flex5,B,07:00,15:00,8,0.9974482
0,N018,151,2025-09-13,Flex2,ICU,10:00,15:00,5,0.9974482
0,N018,152,2025-09-14,Flex1,ICU,07:00,11:00,4,0.9974482
0,N018,153,2025-09-16,Flex2,B,10:00,15:00,5,0.9974482
0,N018,154,2025-09-17,Flex1,C,07:00,11:00,4,0.9974482
0,N018,155,2025-09-18,Flex6,C,07:00,19:00,12,0.9974482
0,N018,156,2025-09-19,Flex6,A,07:00,19:00,12,0.9974482
